comment_id,author,text,time,votes,photo
Ugy5X5RnFZ3OVTUKYX14AaABAg,@Raden.Wijayaa,Saya juga tau kok wo siapa DALANG YG BAYAR DEMO DUKUNG MBG!!! KEMARIN DPET TUH DUIT 100 RB PER ORANG PLUS WAJAN!!,6 jam yang lalu,1,https://yt3.ggpht.com/YF3pT3dOhh9WdAmAhWZmSpaqKaUEUX6erSH53Jdj3V4RiztFmJud0vT5k-kdq6Z4U9rq0c1PnA=s88-c-k-c0x00ffffff-no-rj
Ugx3k_JZDTusX6BBZg14AaABAg,@UmarIribaram-m2g,Jadi negara yg banyak koruptornya😂😂,50 menit yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_mepZNFg0IkDgvVhDWwJ-etfN9-p-jFIuO69t8K727MQtN4q3ixeitoQ27z3kNlE3ybXw=s88-c-k-c0x00ffffff-no-rj
UgzjkiSlU5ryIju2DpN4AaABAg,@Altair_Caribbean,Yang demo pro kebijakan prabowo lah yg dibayar buktinya mereka sendiri NGAKU kok 🤣,7 jam yang lalu (diedit),1,https://yt3.ggpht.com/sKRwQRn3h5X7nMuW5iPaprIFlbhTGrH-G1tszrUcadwXX5LaPPW5Wm0Q5rGAxBDrrxIhLVF2=s88-c-k-c0x00ffffff-no-rj
UgzjMIm8X_iSrnGWQE54AaABAg,@NurrHakim,Bongkar dong pak,38 detik yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_kL7daW0mm9R_yCcc_-7ACB2lV35Z9XJTxD7SZFJYjPcFkWqZ4sFO5qPsN-v2vqL0FIzQ=s88-c-k-c0x00ffffff-no-rj
UgwoTp5iYZJAizTmQlV4AaABAg,@abikusuma-h2f,"di kira saat ini rakyat sejahtera,,",7 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_lbpRUu5gbsvWTmsdI3NZ15kpk0Ej3nbI--JsDIpwlL-8rX0jbLwi0IQmkjLB0HWRjkqw=s88-c-k-c0x00ffffff-no-rj
Ugz-Lj7VuWQ1dFFqFGJ4AaABAg,@Asmaddulalim,Yg kalah ngak enak.... Ini biangnya gak mau kalah.... 😂😂😂,5 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_mHvUglQtLRiBOR3UH27FcNcHYHMrm7xI1YvMI9Yss=s88-c-k-c0x00ffffff-no-rj
UgzCyQFkA47pNIUtGiZ4AaABAg,@judial5244,"Aku juga malu,,,,mahasiswa ikut demo di tanya mau demo apa kok malah  ho ha hoo plonga plongo koyok wong gendeng kgkgkkkkk.",5 jam yang lalu,0,https://yt3.ggpht.com/5_JgX63zkROZUCDq1I0E-A9KaSJI9a1KEqjl--k9DBvKxr8Nc6xFbTD9wwL0rTBIouE0UlozuQ=s88-c-k-c0x00ffffff-no-rj
UgzDT-vdQp10YXTDTJF4AaABAg,@boledzzz8556,Tangkap dong jangan cuma omon omon😅,7 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_ksZUIDH_eb_R4GGWCxeiOwk9lcwVrwrdN_7WPJYc8pG8c=s88-c-k-c0x00ffffff-no-rj
UgyVzLP2MoIoWSIcWLd4AaABAg,@PujiasTuti-u3q,PHK massal udah di depan mata 😂😂😂,5 jam yang lalu,1,https://yt3.ggpht.com/ytc/AIdro_lXZATiSU94AudKCeqOS-aak7Qi50J9-N9s4qqnF2E7CRmgta6gS959E91ZM-ms0kpswQ=s88-c-k-c0x00ffffff-no-rj
UgxPZKcWu2yqP8RgfKB4AaABAg,@Nmryt-z4j,"HANYA TAHU TAPI DIPELIHARA, GAK ADA TINDAKAN APA2 , BERARTI OMONNNN OMONNNN DOANG 😮😮",3 jam yang lalu,0,https://yt3.ggpht.com/ytc/AIdro_mVYsh4_7tPnhk4WYSdJnsULsk1BHYmbthLeH2eoiV5JeggNIweaGnRuf_CWe9Mf5bHig=s88-c-k-c0x00ffffff-no-rj
